0,15298,-607,216,240,200,89
0,15255,-868,76,-249,203,122
0,15187,-823,452,-376,-87,75
0,14040,-2431,1068,-246,-583,-1178
0,14524,-3210,-1425,-1604,-138,896
0,16013,-2372,-19,-33,-496,980
0,13690,-2468,-313,-1850,-1294,-134
0,15510,-487,357,-332,30,-105
0,15381,-376,323,-168,149,79
0,15290,-386,326,-304,160,-117
0,15471,-127,454,-73,140,277
0,15398,-456,348,565,-37,-82
0,15235,-284,-77,241,129,308
0,15211,-601,418,19,17,-208
0,15242,-131,-159,331,-533,436
0,16002,-823,-619,1256,914,-482
0,15852,-1783,128,978,-66,-456
0,15168,-617,-18,-288,661,429
0,15558,455,1363,-1617,-332,-509
0,15469,2065,1423,1528,1051,295
0,16296,-56,1883,-86,323,-954
0,14576,-2373,572,-2905,-94,443
0,17562,-1650,1417,-482,-640,639
0,14966,-731,513,395,-136,-602
0,15387,188,534,-267,544,577
0,15923,-528,903,-263,-28,472
0,12778,-840,253,-1998,1138,355
0,15252,-1757,1436,-363,-460,-372
0,15136,-751,526,21,438,358
0,15216,-1256,1296,-454,-361,-452
0,15336,-663,619,-376,189,-11
0,15160,-1030,760,35,-329,-141
0,15265,-703,420,-35,443,197
0,15307,-952,909,140,-64,-227
0,15243,-521,594,-228,242,288
0,15183,-1064,649,35,89,-351
0,15522,-647,998,94,-303,71
0,15201,-560,335,112,106,-427
0,15005,-189,439,-267,261,184
0,15203,-557,793,-208,31,-125
0,15224,-414,879,163,-15,73
0,15271,-425,568,-264,98,74
0,14565,-486,648,-245,-16,446
0,15155,-702,700,76,-30,-215
0,15340,-401,632,-33,281,224
0,15165,-539,946,15,-54,148
0,15215,-723,862,-23,233,-69
0,15196,-1746,-617,-2737,-2818,1093
0,15415,-1266,-1240,666,1969,-357
0,14969,-1288,1507,-1515,-233,-297
0,13829,2249,1394,1946,1339,-621
0,15816,-1353,1149,1660,116,791
0,14935,-4095,-1234,-1662,-1249,703
0,16386,-1739,1649,-720,518,-199
0,16369,-906,874,298,151,448
0,15297,-2192,0,-255,346,-385
0,13642,-2340,-524,-928,316,1371
0,15592,-1264,1934,-1035,-547,-658
0,15604,544,2192,887,1208,-816
0,16548,-2487,542,224,-107,-1065
0,13665,-2706,-819,-1102,-1284,1334
0,17099,-2095,-704,-590,206,151
0,14594,-575,473,33,-23,-448
0,16082,-934,412,-605,362,-95
0,14012,-1427,134,-524,227,46
0,15325,-1529,527,-367,-109,-131
0,15648,-1080,152,167,84,-2
0,15361,-1309,110,-211,16,-82
0,15400,-1221,140,-216,45,123
0,15435,-1329,375,-184,25,-211
0,15364,-898,390,63,201,312
0,15309,-1191,500,-3,-148,-278
0,15425,-886,377,-183,336,347
0,15280,-1190,695,-278,-75,-58
0,15406,-1084,465,-135,241,198
0,15427,-1364,698,41,-23,-125
0,15279,-846,641,-116,84,235
0,15125,-1311,388,-53,157,-78
0,15347,-1004,518,101,75,214
0,15405,-1333,682,-261,280,-65
0,15316,-951,669,-285,-84,59
0,15263,-1162,623,-225,212,101
0,16349,-1375,1615,599,704,876
0,11839,-463,312,2404,-962,-415
0,14500,-2007,426,135,-554,148
0,17813,-5020,-306,326,-1102,1841
0,15215,-3104,-4430,110,34,1147
0,14336,-3277,-1453,159,-146,-1771
0,15893,57,-455,422,260,-242
0,15782,-1417,243,475,237,-65
0,15277,-1645,-938,-579,313,-67
0,15586,-2424,301,-67,-394,-598
0,14889,-1020,48,562,527,417
0,14958,-1080,758,3582,-537,-646
0,14427,-2094,678,-5032,-145,971
0,15154,-2237,-1337,823,-36,271
0,16399,-893,212,580,654,-175
0,15219,-866,663,-12,587,-675
0,15156,-624,814,263,128,108
0,15220,-724,841,101,204,-116
0,15507,-345,887,232,102,-23
0,15435,-222,832,-174,-13,29
0,15547,-329,465,-42,349,137
0,15224,-539,620,204,291,-312
0,16227,445,606,1,-234,42
0,14516,762,-355,1605,-118,99
0,14633,-588,256,790,-795,377
0,15774,-2265,1647,-3113,343,312
0,15353,-3145,1897,-3549,1566,117
0,14622,-2944,3376,-5424,12,444
0,18388,63,-297,-1719,1419,664
0,15403,952,-1120,-465,-365,-1812
0,15049,-70,853,-683,-591,258
0,14576,-1598,527,484,421,-266
0,15401,-607,1499,-4,12,-29
0,15149,-431,673,-124,187,91
0,15342,-524,1310,74,423,1
0,15141,-481,1741,-332,-353,-342
0,15105,-513,1039,31,-211,204
0,15702,-782,896,324,261,-186
0,15250,-428,921,-52,85,-184
0,15338,-301,1180,-269,-47,-17
0,15469,-256,1182,-43,105,73
0,15389,-314,1047,-15,64,-20
0,15600,-149,912,-111,-29,115
0,15624,-438,1112,215,52,-172
0,15424,334,1246,340,353,545
0,14825,-467,1934,836,-138,373
0,14095,1244,79,-645,-17,633
0,14803,1579,-914,1329,-66,-647
0,21411,1005,2389,1239,-1149,1288
0,15947,-2747,644,1949,101,572
0,15214,-2989,1496,9,963,436
0,13708,-3960,2845,-659,246,1277
0,19804,-1897,1072,-1344,917,779
